,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Dec,Side,CabinCrowdness
0,1,0,2,0.7010702540296021,0,-0.3429035037300522,-0.27940459267927553,-0.30802725610859516,-0.2699815982609639,-0.2664216555173374,0,3,0,-0.5632102127537257
1,0,0,2,-0.3351027629323883,0,-0.17178768147849055,-0.27387808455537355,-0.2639227433288672,0.2236380895982127,-0.2271641573171553,1,5,1,-0.5632102127537257
2,1,0,2,2.01355607551479,1,-0.2753990967867756,1.9164613018844476,-0.30802725610859516,5.767643545590349,-0.22270307797622552,0,4,1,0.27198435314453423
3,1,0,2,0.28660104724480595,0,-0.3429035037300522,0.5084298432058634,0.34648371354256735,2.7232059079015114,-0.09422399295744775,0,4,1,0.27198435314453423
4,0,0,2,-0.8877283719787831,0,0.13276708473071092,-0.23642064060448229,-0.04163599891903845,0.23802409143017414,-0.2646372237809655,1,5,1,-0.5632102127537257
5,0,0,0,1.046461259683599,0,-0.3429035037300522,0.017184676636797836,-0.30802725610859516,-0.008336189942165369,-0.2664216555173374,1,5,0,-0.5632102127537257
6,0,0,2,-0.19694636067078955,0,-0.276968966715689,0.6656282965079644,-0.30273471457502776,-0.2699815982609639,-0.2664216555173374,1,5,1,-0.5632102127537257
7,0,1,2,-0.05878995840919084,0,-0.3429035037300522,-0.27940459267927553,-0.30802725610859516,-0.2699815982609639,-0.2664216555173374,1,6,1,-0.5632102127537257
8,0,0,2,0.42475744950640465,0,-0.3429035037300522,0.2026297270166201,-0.27803618741838015,-0.07577057352948458,-0.2664216555173374,1,5,1,-0.5632102127537257
9,1,1,1,-1.0258847742403818,0,-0.3429035037300522,-0.27940459267927553,-0.30802725610859516,-0.2699815982609639,-0.2664216555173374,1,3,0,1.107178919042794
10,1,1,2,0.3556792483756053,0,-0.3429035037300522,-0.27940459267927553,-0.30802725610859516,-0.2699815982609639,-0.2664216555173374,1,3,0,1.107178919042794
11,1,0,1,1.1155394608143983,0,-0.2816785765024292,4.200137269972391,0.7310750649817949,-0.17107783566622906,-0.15578688786227876,1,3,0,1.107178919042794
12,2,0,2,0.21752284611400657,0,-0.2283029989193733,-0.27940459267927553,1.6731474579567833,-0.2699815982609639,-0.16560126241232428,1,5,0,-0.5632102127537257
13,0,0,2,1.3227740642067962,0,0.7858329751586893,-0.2787905362210642,-0.19335552288130253,-0.2699815982609639,-0.24500847468087444,0,6,1,-0.5632102127537257
14,0,0,2,-0.05878995840919084,0,-0.33034454429874494,0.3186863976185618,-0.28685708997432574,-0.26818334803196875,-0.2601761444400357,1,5,0,-0.5632102127537257
16,2,0,1,-0.1278681595399902,0,1.6759492248525925,-0.204489704777493,-0.30802725610859516,-0.2699815982609639,-0.2664216555173374,0,5,0,-0.5632102127537257
17,0,0,1,-0.3351027629323883,0,-0.3429035037300522,-0.2787905362210642,-0.30802725610859516,-0.2699815982609639,0.30191985251711706,0,5,0,-0.5632102127537257
18,2,1,2,1.1155394608143983,0,-0.3429035037300522,-0.27940459267927553,-0.30802725610859516,-0.2699815982609639,-0.2664216555173374,1,5,0,-0.5632102127537257
19,0,0,2,-1.9929795900715728,0,-0.3429035037300522,-0.27940459267927553,-0.30802725610859516,-0.2699815982609639,-0.2664216555173374,1,6,0,-0.5632102127537257
20,0,0,1,-1.0258847742403818,0,0.30388290698227255,-0.27940459267927553,-0.306263075597406,-0.2699815982609639,0.3393929189809272,0,5,0,-0.5632102127537257
21,0,1,2,-1.9239013889407734,0,-0.3429035037300522,-0.27940459267927553,-0.30802725610859516,-0.2699815982609639,-0.2664216555173374,0,0,1,3.612762616737574
22,0,1,1,1.3918522653375955,0,-0.3429035037300522,-0.27940459267927553,-0.30802725610859516,-0.2699815982609639,-0.2664216555173374,0,0,1,3.612762616737574
23,0,1,1,0.010288242721608514,0,-0.3429035037300522,-0.27940459267927553,-0.30802725610859516,-0.2699815982609639,-0.2664216555173374,0,0,1,3.612762616737574
24,0,0,2,-1.3021975787635791,0,-0.3429035037300522,-0.27940459267927553,-0.30802725610859516,-0.2699815982609639,-0.2664216555173374,1,0,1,3.612762616737574
25,0,1,0,-1.9239013889407734,0,-0.3429035037300522,-0.27940459267927553,-0.30802725610859516,-0.2699815982609639,-0.2664216555173374,0,0,1,3.612762616737574
26,0,0,2,-1.5094321821559773,0,-0.3429035037300522,-0.27940459267927553,-0.30802725610859516,-0.2699815982609639,-0.2664216555173374,0,0,1,3.612762616737574
28,1,1,2,2.289868880037987,0,-0.3429035037300522,-0.27940459267927553,-0.30802725610859516,-0.2699815982609639,-0.2664216555173374,1,2,1,-0.5632102127537257
29,0,0,2,-0.9568065731095824,0,-0.3429035037300522,-0.14124188958172582,-0.30802725610859516,0.6273452660076304,-0.2664216555173374,0,5,1,-0.5632102127537257
